id,name,faction,type,subtype,cost,rarity,artist,edition
1,Boris Brightbeard,Alliance,Hero,Dwarf Priest,,Uncommon,Stuart Immonen,azeroth
2,Dizdemona,Alliance,Hero,Gnome Warlock,,Uncommon,Gabe from Penny Arcade,azeroth
3,Elendril,Alliance,Hero,Night Elf Hunter,,Uncommon,Todd McFarlane,azeroth
4,Graccus,Alliance,Hero,Human Paladin,,Uncommon,Doug Alexander,azeroth
5,Litori Frostburn,Alliance,Hero,Human Mage,,Uncommon,Rebecca Guay,azeroth
6,Moonshadow,Alliance,Hero,Night Elf Druid,,Uncommon,RK Post,azeroth
7,Timmo Shadestep,Alliance,Hero,Gnome Rogue,,Uncommon,Glenn Rane,azeroth
8,Warrax,Alliance,Hero,Dwarf Warrior,,Uncommon,Dave Dorman,azeroth
9,Gorebelly,Horde,Hero,Orc Warrior,,Uncommon,Arthur Suydam,azeroth
10,Grennan Stormspeaker,Horde,Hero,Tauren Shaman,,Uncommon,Samwise,azeroth
11,Kayleitha,Horde,Hero,Undead Rogue,,Uncommon,Justin Thavirat,azeroth
12,Omedus the Punisher,Horde,Hero,Undead Priest,,Uncommon,Jeff Miracola,azeroth
13,Radak Doombringer,Horde,Hero,Orc Warlock,,Uncommon,Greg Staples,azeroth
14,Sen'zir Beastwalker,Horde,Hero,Troll Hunter,,Uncommon,Dan Brereton,azeroth
15,Ta'zo,Horde,Hero,Troll Mage,,Uncommon,Ariel Olivetti,azeroth
16,Thangal,Horde,Hero,Tauren Druid,,Uncommon,Greg Hildebrandt,azeroth
17,Bash,,Ability,Feral,2,Uncommon,Mauro Cascioli,azeroth
18,Bear Form,,Ability,Feral,1,Uncommon,James Brady,azeroth
19,Circle of Life,,Ability,Restoration,8,Rare,John Tyskiewicz,azeroth
20,Entangling Roots,,Ability,Balance,2,Common,Mauro Cascioli,azeroth
21,Feral Rage,,Ability,Feral,5,Rare,Cyril Van Der Haegen,azeroth
22,Healing Touch,,Ability,Restoration,3,Uncommon,Cyril Van Der Haegen,azeroth
23,Innervate,,Ability,Restoration,4,Rare,Doug Alexander,azeroth
24,Mark of the Wild,,Ability,Restoration,2,Common,Brad Vancata,azeroth
25,Maul,,Ability,Feral,2,Uncommon,Jose Pardo,azeroth
26,Natural Defenses,,Ability,Feral,1,Rare,Jason Engle,azeroth
27,Natural Selection,,Ability,Restoration,3,Common,Carl Frank,azeroth
28,Nature's Swiftness,,Ability,Restoration Talent,3,Rare,Cyril Van Der Haegen,azeroth
29,Predatory Strikes,,Ability,Feral Talent,1,Rare,Doug Alexander,azeroth
30,Primal Mending,,Ability,Restoration,1,Uncommon,Tom McWeeney,azeroth
31,Starfire,,Ability,Balance,6,Rare,Dany Orizio,azeroth
32,Aimed Shot,,Ability,Marksmanship Talent,1+X,Rare,Mauro Cascioli,azeroth
33,Arcane Shot,,Ability,Marksmanship,2,Common,John Shroades,azeroth
34,Aspect of the Hawk,,Ability,Beast Mastery,3,Rare,Phroilan Gardner,azeroth
35,Bestial Wrath,,Ability,Beast Mastery Talent,1,Rare,John Dickerson,azeroth
36,Bloodclaw,,Ally,Raptor (3/1 Melee),1,Common,Dan Brereton,azeroth
37,Eagle Eye,,Ability,Beast Mastery,2,Uncommon,Tom McWeeney,azeroth
38,Fury,,Ally,Cat (5/3 Melee),5,Rare,Todd McFarlane,azeroth
39,Marked for Death,,Ability,Marksmanship,2,Uncommon,John Dickerson,azeroth
40,Master of the Hunt,,Ability,Beast Mastery,3,Rare,Brad Williams,azeroth
41,Multi-Shot,,Ability,Marksmanship,5,Rare,Alex Horley Orlandelli,azeroth
42,Old Bones,,Ally,Bear (4/4 Melee),4,Uncommon,Marc Fishman,azeroth
43,Rapid Fire,,Ability,Marksmanship,2,Rare,Alex Horley Orlandelli,azeroth
44,Ravenous Bite,,Ability,Beast Mastery,2,Common,Marc Fishman,azeroth
45,Rayder,,Ally,Wolf (2/2 Melee),2,Uncommon,Jason Felix,azeroth
46,Track Humanoids,,Ability,Survival,2,Uncommon,Mauro Cascioli,azeroth
47,Arcane Intellect,,Ability,Arcane,2,Uncommon,Dave Berggren,azeroth
48,Blink,,Ability,Arcane,2,Common,Stabbity,azeroth
49,Brain Freeze,,Ability,Frost,3,Rare,Rebecca Guay,azeroth
50,Cold Snap,,Ability,Frost Talent,2+X,Rare,Jason Engle,azeroth
51,Counterspell,,Ability,Arcane,2,Rare,Mauro Cascioli,azeroth
52,Fire Blast,,Ability,Fire,1,Common,Dave Berggren,azeroth
53,Fireball,,Ability,Fire,4,Uncommon,Vance Kovacs,azeroth
54,Flamestrike,,Ability,Fire,7,Rare,Romain DeSanti,azeroth
55,Frost Nova,,Ability,Frost,4,Rare,Stabbity,azeroth
56,Frostbolt,,Ability,Frost,3,Uncommon,Steve Ellis,azeroth
57,Mana Agate,,Ability,Arcane,2,Uncommon,Khang Le,azeroth
58,Polymorph,,Ability,Arcane,2,Common,Vance Kovacs,azeroth
59,Pyroblast,,Ability,Fire Talent,8,Rare,Vance Kovacs,azeroth
60,Winter's Grasp,,Ability,Frost,3,Uncommon,Boris Vallejo,azeroth
61,World in Flames,,Ability,Fire,8,Rare,Carl Frank,azeroth
62,Blessing of Might,,Ability,Retribution Blessing,2,Uncommon,Ladronn,azeroth
63,Blessing of Protection,,Ability,Protection Blessing,2,Uncommon,Clint Langley,azeroth
64,Blessing of Wisdom,,Ability,Holy Blessing,5,Rare,Dave Allsop,azeroth
65,Cleanse,,Ability,Holy,1,Uncommon,Tristan Schane,azeroth
66,Devotion Aura,,Ability,Protection,5,Rare,Paul Jeacock,azeroth
67,Divine Shield,,Ability,Holy,3,Rare,Matt Dixon,azeroth
68,Hammer of Justice,,Ability,Protection,2,Common,Thor Badendyck,azeroth
69,Holy Light,,Ability,Holy,3,Common,Julie Bell,azeroth
70,Holy Shield,,Ability,Protection Talent,2,Rare,Ted Park,azeroth
71,Retribution Aura,,Ability,Retribution,5,Rare,Glenn Rane,azeroth
72,Sacred Duty,,Ability,Protection,3,Common,Joe Jusko,azeroth
73,Seal of Light,,Ability,Holy,3,Uncommon,Ted Park,azeroth
74,Seal of Wisdom,,Ability,Holy,3,Rare,Matt Dixon,azeroth
75,Touched by Light,,Ability,Holy,1,Uncommon,Cos Koniotis,azeroth
76,Chastise,,Ability,Holy,2,Uncommon,Steve Ellis,azeroth
77,Dispel Magic,,Ability,Discipline,1,Uncommon,Rebecca Guay,azeroth
