expansion,collector_number,name,cost,type,alignment,class,subtype,tags,atk,dmg_type,health,rarity,keywords,power_text,data_status,engine_status,effects,image_path,
azeroth,1,Boris Brightbeard,X,Hero,Alliance,Priest,,Dwarf Priest,,,26,Uncommon,,Flip Boris Brightbeard and pay X: Boris Brightbeard heals X damage from target hero or ally. Use only on your turn.,verified,implemented,heal_x_from_target:holy|require_turn_player,assets\cards\boris_brightbeard.png,
azeroth,2,Dizdemona,3,Hero,Alliance,Warlock,,Gnome Warlock,,,28,Uncommon,,"Flip Dizdemona and pay 3, put X damage on her: Dizdemona deals X shadow damage to target ally. Use only on your turn.",verified,implemented,require_turn_player|deal_x_damage_to_ally:shadow,assets\cards\dizdemona.png,
azeroth,3,Elendril,1,Hero,Alliance,Hunter,,Night Elf Hunter,,,28,Uncommon,,"1, Flip Elendril -> Your Ranged weapons have +3 ATK this turn.",verified,implemented,ranged_weapon_atk_bonus:3,assets\cards\elendril.png,
azeroth,4,Graccus,3,Hero,Alliance,Paladin,,Human Paladin,,,29,Uncommon,,,unchecked,,,assets\cards\graccus.png,
azeroth,5,Litori Frostburn,2,Hero,Alliance,Mage,,Human Mage,,,25,Uncommon,,Flip Litori Frostburn and pay 2: Target hero or ally can't attack this turn.,verified,implemented,target_cant_attack,assets\cards\litori_frostburn.png,
azeroth,6,Moonshadow,3,Hero,Alliance,Druid,,Night Elf Druid,,,27,Uncommon,,"Flip Moonshadow and pay 3: Shuffle your hand into your deck, then draw that many cards.",verified,implemented,shuffle_hand_draw,assets\cards\moonshadow.png,
azeroth,7,Timmo Shadestep,5,Hero,Alliance,Rogue,,Gnome Rogue,,,27,Uncommon,,Flip Timmo Shadestep and pay 5: Destroy target exhausted ally. Use only on your turn.,verified,implemented,destroy_exhausted_ally|require_turn_player,assets\cards\timmo_shadestep.png,
azeroth,8,Warrax,1,Hero,Alliance,Warrior,,Dwarf Warrior,,,30,Uncommon,,,unchecked,,,assets\cards\warrax.png,
azeroth,9,Gorebelly,1,Hero,Horde,Warrior,,Orc Warrior,,,30,Uncommon,,"1, Flip Gorebelly -> You pay 3 less the next time you strike with a Melee weapon this turn.",verified,implemented,melee_strike_discount:3,assets\cards\gorebelly.png,
azeroth,10,Grennan Stormspeaker,5,Hero,Horde,Shaman,,Tauren Shaman,,,29,Uncommon,,Flip Grennan Stormspeaker and pay 5: Grennan Stormspeaker deals 3 nature damage to target hero or ally and heals 3 damage from another target hero or ally. Use only on your turn.,verified,implemented,deal_damage_and_heal:3:nature:3|require_turn_player,assets\cards\grennan_stormspeaker.png,
azeroth,11,Kayleitha,2,Hero,Horde,Rogue,,Undead Rogue,,,27,Uncommon,,,unchecked,,,assets\cards\kayleitha.png,
azeroth,12,Omedus the Punisher,3,Hero,Horde,Priest,,Undead Priest,,,26,Uncommon,,Flip Omedus the Punisher and pay 3: Omedus the Punisher deals shadow damage to target hero equal to 7 minus the number of cards in its controller's hand.,verified,implemented,deal_7_minus_hand_to_hero:shadow,assets\cards\omedus_the_punisher.png,
azeroth,13,Radak Doombringer,,Hero,Horde,Warlock,,Orc Warlock,,,28,Uncommon,,"(X) Flip Radak Doombringer, destroy one of your Pets with cost X: Radak Doombringer deals X shadow damage to target hero or ally. Use only on your turn.",verified,implemented,radak_pet_sacrifice:shadow|require_turn_player,assets\cards\radak_doombringer.png,
azeroth,14,Sen'zir Beastwalker,3,Hero,Horde,Hunter,,Troll Hunter,,,28,Uncommon,,Flip Sen'zir Beastwalker -> Put a Pet card from your graveyard into your hand.,verified,implemented,graveyard_to_hand:Pet:1:1:own,assets\cards\senzir_beastwalker.png,
azeroth,15,Ta'zo,3,Hero,Horde,Mage,,Troll Mage,,,25,Uncommon,,Flip Ta'zo and pay 3: Ta'zo deals 3 fire damage to target hero or ally. Use only on your turn.,verified,implemented,deal_damage_to_target:3:fire|require_turn_player,assets\cards\tazo.png,
azeroth,16,Thangal,3,Hero,Horde,Druid,,Tauren Druid,,,28,Uncommon,,,unchecked,,,assets\cards\thangal.png,
azeroth,17,Bash,2,Instant Ability,,Druid,,Feral,,,,Uncommon,,Exhaust target hero or ally. Ongoing: Your hero is in bear form. (Has protector. Destroy this card when you strike with a weapon or play a non-Feral ability.),verified,implemented,ongoing|form:1|form_break:Feral|hero_has_protector|exhaust_target:hero_or_ally,assets\cards\bash.png,
azeroth,18,Bear Form,1,Instant Ability,,Druid,,Feral,,,,Uncommon,,"Ongoing: Your hero is in bear form. (Has protector. Destroy this card when you strike with a weapon or play a non-Feral ability.) When Bear Form is destroyed, you may pay 2. If you do, put it into your hand at end of turn.",verified,implemented,ongoing|form:1|form_break:Feral|hero_has_protector|on_destroyed:pay_return_hand:2,assets\cards\bear_form.png,
